sequence	16S_rRNA_Count	metadata_NSTI	closest_reference_genome
AF550652.1.1555	3	0.036987	GCF_013372125.1
AFRD01000591.5123.7037	1	0.15115	GCA_002706605.1
AFYE01000091.124.1666	1	0.015893	GCF_900113455.1
AFZE01000039.3843.5359	1	0.024297	GCF_000238115.1
AFZY01000009.80.1511	5	0.021804	GCF_000260435.1
AGCI01000028.1.1356	1	0.017673	GCF_001586165.1
AGEJ01000013.153803.155242	8	0.006813	GCF_000340375.1
AGSE01000001.236147.237673	7	0.025475	GCF_003697165.2
AGXQ01000010.543.2059	1	0.021292	GCF_002849695.1
AGXT01000041.79243.80759	5	0.037666	GCF_009193295.2
AGXW01000006.688.2204	5	0.106317	GCF_009193325.2
AGZE01000001.1.1322	1	0.005308	GCF_000301055.1
AGZQ01000017.129.1643	5	0.032399	GCA_025151215.1
AJ005635.1.1447	1	0.025325	GCF_000613405.1
AJ006962.1.1476	4	0.00854	GCF_000163895.2
AJ006963.1.1453	2	0.009206	GCA_001189495.1
AJ131121.1.1481	1	0.006597	GCF_928382285.1
AJ131149.1.1456	1	0.050722	GCA_900542085.1
AJ131915.1.1336	2	0.00826	GCF_002138415.1
AJ132842.30.1345	6	0.01012	GCF_024168045.1
AJ223454.1.1470	1	0.051709	GCF_000833025.1
AJ233437.1.1480	1	0.0054	GCF_000735525.1
AJ234040.1.1412	3	0.028522	GCA_000411415.1
AJ234041.1.1397	3	0.032421	GCF_000466265.1
AJ234053.1.1371	1	0.010338	GCF_006546825.1
AJ234058.1.1367	3	0.013739	GCF_009730335.1
AJ239289.1.1355	4	0.023118	GCF_900638555.1
AJ239291.1.1355	4	0.030727	GCA_024205745.1
AJ239312.1.1355	4	0.035478	GCF_900638555.1
AJ243791.1.1423	3	0.024845	GCF_000159035.1
AJ243966.1.1459	4	0.04344	GCF_000686605.1
AJ244698.1.1496	3	0.056983	GCF_006159205.1
AJ247194.1.1416	3	0.00015	GCF_000175215.2
AJ249859.1.1350	1	0.011154	GCA_934668765.1
AJ251630.1.1502	1	0.018382	GCF_001553605.1
AJ251986.1.1401	3	0.00416	GCF_001553565.1
AJ270486.1.1241	1	0.074478	GCF_019734885.1
AJ270951.1.1252	1	0.008877	GCF_905332535.1
AJ271894.1.1448	1	0.014241	GCF_000758755.1
AJ272467.1.1202	1	0.046268	GCF_020171745.1
AJ276874.1.1420	3	0.079053	GCF_008245005.1
AJ277208.1.1350	3	0.00698	GCF_000214475.1
AJ278694.1.1411	1	0.003919	GCF_000420505.1
AJ289173.1.1446	1	0.296417	GCF_017426725.1
AJ290754.1.1466	1	0.047751	GCF_900186995.1
AJ290758.1.1466	1	0.047638	GCF_002015045.1
AJ291746.1.1317	1	0.019591	GCF_020748465.1
AJ292530.41.1371	1	0.020256	GCF_000161935.1
AJ292676.1.1501	1	0.16267	GCA_019683695.1
AJ295350.1.1354	1	0.09355	GCF_001571325.1
AJ296554.1.1289	1	0.027803	GCF_013004375.1
AJ305238.1.1505	1	0.040975	GCA_000154345.1
AJ307005.1.1380	1	0.002421	GCF_001042635.1
AJ308305.1.1371	1	0.011437	GCF_007858275.1
AJ311604.1.1472	1	0.041983	GCF_000260715.1
AJ311606.1.1479	2	0.039563	GCF_001025175.1
AJ315979.1.1406	1	0.119244	GCF_014287475.1
AJ318864.29.1472	2	0.009376	GCF_000981035.1
AJ344093.1.1362	1	0.020187	GCF_001517935.1
AJ400261.1.1495	1	0.065606	GCA_910574195.1
AJ400848.134008.135498	2	0.050208	GCF_022496765.1
AJ408960.1.1496	1	0.022	GCA_000980495.1
AJ420197.1.1444	1	0.010472	GCF_000372425.1
AJ420200.1.1419	4	0.040701	GCF_900459175.1
AJ421779.1.1522	1	0.013118	GCF_016405145.1
AJ430347.1.1345	1	0.066093	GCF_008801935.1
AJ441057.1.1482	4	0.043818	GCF_000732945.1
AJ508452.1.1498	1	0.034213	GCF_005845215.1
AJ515914.1.1347	1	0.007304	GCF_000210095.1
AJ518871.1.1462	1	0.014674	GCF_000154825.1
AJ518873.1.1461	1	0.043629	GCF_014287435.1
AJ518876.1.1339	2	0.034186	GCA_025145645.1
AJ540309.1.1413	1	0.005653	GCF_000239695.1
AJ558133.1.1467	2	0.014613	GCF_009707125.1
AJ575726.1.1450	1	0.118556	GCA_016868475.1
AJ576075.1.1341	1	0.012352	GCF_000146285.1
AJ576088.1.1420	1	0.009435	GCF_000146285.1
AJ576350.1.1454	2	0.109279	GCF_000797495.1
AJ586357.1.1440	9	0.02605	GCA_002243705.1
AJ586614.1.1468	4	0.043322	GCF_004341385.1
AJ608235.1.1314	1	0.107121	GCA_000285855.2
AJ608247.1.1335	1	0.114685	GCA_025150425.1
AJ621555.1.1472	1	0.011915	GCF_000237995.1
AJ697609.1.1517	3	0.114669	GCF_001278845.1
AJ746200.1.1452	1	0.010689	GCF_000826525.2
AJ786792.1.1293	1	0.00218	GCF_003994255.1
AJ811975.1.1356	1	0.107635	GCF_003461955.1
AJ812137.1.1354	1	0.109679	GCF_019052365.1
AJ853503.1.1447	1	0.110849	GCF_002210225.1
AJ853585.1.1447	1	0.174576	GCF_004022485.1
AJ867040.1.1492	1	0.011803	GCF_014337255.1
AJ867049.1.1500	1	0.018882	GCF_000701705.1
AJ867899.1.1483	1	0.053805	GCF_021395205.1
AJ874342.1.1448	1	0.032303	GCF_015751045.1
AJ888239.1.1389	1	0.00015	GCF_022179325.1
AJ973157.1.1529	1	0.022221	GCF_001437075.1
AJAL01000017.143922.145468	1	0.025852	GCF_005405365.1
AJAL01000024.33876.35405	1	0.015617	GCF_005405365.1
AJAM01000006.437650.439197	1	0.02444	GCF_002140915.1
AJVZ01000001.43924.45432	1	0.013344	GCF_000262545.1
AJWZ01008267.13415.14982	1	0.069229	GCA_902791625.1
AKCU01000562.18830.20227	1	0.112131	GCF_014635025.1
AM084342.1.1363	1	0.018631	GCF_013488205.1
AM176887.1.1449	1	0.03585	GCA_022870705.1
AM179911.1.1362	1	0.037428	GCA_002270295.1
AM183003.1.1447	1	0.125514	GCA_944391805.1
AM183057.1.1475	9	0.13971	GCF_021497505.1
AM183074.1.1431	1	0.119282	GCF_014384905.1
AM183080.1.1438	1	0.044342	GCF_015550425.1
AM237369.1.1209	1	0.014758	GCF_004136555.1
AM237928.1.1450	1	0.115257	GCA_022777585.1
AM238230.1.1490	1	0.172809	GCF_007164725.1
AM275406.1.1503	1	0.163898	GCA_900751685.1
AM275412.1.1485	1	0.180525	GCA_944326825.1
AM275414.1.1511	1	0.133001	GCA_905188025.1
AM275467.1.1476	1	0.038355	GCF_002160815.1
AM275475.1.1514	1	0.131547	GCA_944358825.1
AM275478.1.1447	1	0.135381	GCF_002160865.1
AM275521.1.1477	1	0.011285	GCF_003865075.1
AM275604.1.1484	1	0.01184	GCF_014384805.1
AM275737.1.1459	1	0.163323	GCF_943192915.1
AM275757.1.1484	1	0.143663	GCA_000403335.2
AM275764.1.1498	1	0.155792	GCF_015140235.1
AM275765.1.1491	1	0.193222	GCA_020859755.1
AM276076.1.1465	2	0.225171	GCF_000296445.1
AM276086.1.1464	1	0.042237	GCA_023459495.1
AM276744.1.1449	2	0.16673	GCF_002834235.1
AM277340.1.1500	1	0.163898	GCA_900751685.1
AM277369.1.1548	1	0.075697	GCA_934167875.1
AM277375.1.1485	1	0.155644	GCF_012070565.1
AM277404.1.1521	1	0.109335	GCA_944371995.1
AM277455.1.1490	3	0.13694	GCF_012317185.1
AM277551.1.1476	1	0.163898	GCA_900751685.1
AM277561.1.1522	1	0.108801	GCA_900547775.1
AM277633.1.1436	1	0.094147	GCF_900104615.1
AM277638.1.1452	1	0.087318	GCA_014385095.1
AM277653.1.1461	1	0.118916	GCF_000468015.1
AM277667.1.1468	1	0.180953	GCF_014384905.1
AM277955.1.1615	1	0.167453	GCA_015056045.1
AM277966.1.1487	3	0.126942	GCA_017569285.1
AM277970.1.1464	1	0.049729	GCA_023459495.1
AM277978.1.1525	4	0.110379	GCF_000010425.1
AM277985.1.1475	1	0.212931	GCA_944376795.1
AM277988.1.1480	2	0.094665	GCF_000265365.1
AM278259.1.1472	2	0.146246	GCF_002834235.1
AM278590.1.1485	1	0.459067	GCA_000961765.1
AM278620.1.1486	1	0.123907	GCA_014385105.1
AM278898.1.1617	1	0.150587	GCF_900048895.1
AM278916.1.1477	1	0.143534	GCF_943192995.1
AM278918.1.1450	3	0.145615	GCA_017569285.1
AM278923.1.1460	1	0.259403	GCA_013335845.1
AM278926.1.1472	3	0.15346	GCA_900199405.1
AM292800.1.1367	1	0.164503	GCF_004151275.1
AM398646.1.1476	1	0.020825	GCF_000379625.1
AM404477.1.1484	1	0.079339	GCF_001487105.1
AM404803.1.1432	1	0.22941	GCF_943192915.1
AM404847.1.1451	1	0.113823	GCF_014384895.1
AM404855.1.1490	4	0.235192	GCF_000160115.1
AM405112.1.1489	1	0.109496	GCF_004123145.1
AM405117.1.1481	1	0.163511	GCA_022870705.1
AM405126.1.1483	1	0.213854	GCF_016900655.1
AM405127.1.1487	1	0.037549	GCA_900543035.1
AM405132.1.1429	1	0.056784	GCA_900540345.1
AM405156.1.1441	1	0.343317	GCA_015067305.1
AM405167.1.1486	1	0.186262	GCA_904419955.1
AM405230.1.1486	1	0.309481	GCA_002439755.1
AM405425.1.1456	3	0.126942	GCA_017569285.1
AM405723.1.1462	1	0.150047	GCF_001643775.1
AM405728.1.1460	1	0.263084	GCA_934636245.1
AM405748.1.1471	1	0.138271	GCF_901212655.1
AM405784.1.1439	1	0.112898	GCF_003416765.1
AM406047.1.1485	1	0.21005	GCA_900155405.1
AM406090.1.1432	1	0.045374	GCA_910575165.1
AM406458.1.1481	1	0.054353	GCF_002161675.1
AM406496.1.1481	1	0.090764	GCF_002161675.1
AM406499.1.1455	1	0.1112	GCF_016901775.1
AM419461.1.1482	1	0.004514	GCF_000420505.1
AM419982.1.1495	1	0.02452	GCF_003977605.1
AM419999.1.1277	1	0.078213	GCA_905234075.1
AM420030.1.1477	1	0.166279	GCF_000192225.1
AM420032.1.1494	1	0.136248	GCA_016901395.1
AM420095.1.1471	5	0.036889	GCF_007990445.1
AM420097.1.1495	1	0.140292	GCF_000518545.1
AM420100.1.1215	2	0.192874	GCF_001286805.1
AM420103.1.1507	2	0.227868	GCF_024181285.1
AM420111.1.1380	1	0.135466	GCA_000513555.1
AM420132.1.1439	1	0.114192	GCA_014896235.1
AM420142.1.1474	5	0.015957	GCF_018128225.1
AM420144.1.1397	1	0.265339	GCF_900176035.1
AM420159.1.1486	1	0.374446	GCA_012838685.1
AM420201.1.1476	1	0.014755	GCF_017565765.1
AM420252.1.1492	4	0.020356	GCF_003609775.1
AM420255.1.1205	1	0.085202	GCF_001953955.1
AM420266.1.1496	1	0.029061	GCF_001953955.1
AM420277.1.1527	4	0.021988	GCF_000024945.1
AM422125.1.1474	1	0.122716	GCF_000262545.1
AM423088.1.1339	1	0.038606	GCF_003730015.1
AM491469.1.1503	8	0.016729	GCF_004331385.1
AM500740.1.1478	1	0.124897	GCA_902765005.1
AM500743.1.1607	1	0.107128	GCF_003269275.1
AM500751.1.1479	1	0.10282	GCA_944326585.1
AM500798.1.1491	1	0.236811	GCA_012034405.1
AM500804.1.1519	2	0.111175	GCF_000155955.1
AM500831.1.1532	1	0.056373	GCA_934162125.1
AM501431.1.1345	1	0.022905	GCF_004342485.1
AM694064.1.1445	1	0.119282	GCF_014384905.1
AM696714.1.1480	1	0.046693	GCF_903819165.1
AM696758.1.1492	5	0.042159	GCA_017161075.1
AM696804.1.1480	3	0.254941	GCA_017569285.1
AM696812.1.1489	1	0.135137	GCA_002841545.1
AM696869.1.1522	1	0.450783	GCA_000961765.1
AM697380.1.1520	1	0.031976	GCF_900240295.1
AM697405.1.1465	1	0.115481	GCF_015140235.1
AM886059.1.1431	1	0.12478	GCF_900199375.1
AM932528.1.1301	1	0.122594	GCA_900045905.1
AM932552.1.1312	1	0.040242	GCA_910575585.1
AM932558.1.1322	1	0.118326	GCA_009917455.1
AM932563.1.1311	1	0.074386	GCF_943192995.1
AM932566.1.1324	1	0.04649	GCF_004803695.1
AM932581.1.1311	1	0.052171	GCA_910575695.1
AM932582.1.1313	1	0.054084	GCF_016901775.1
AM932593.1.1302	1	0.040383	GCA_910579585.1
AM932602.1.1285	1	0.016134	GCF_000765695.2
AM932603.1.1329	2	0.05851	GCF_000487995.2
AM932612.1.1312	1	0.116904	GCA_910575835.1
AM932624.1.1300	1	0.108742	GCA_003478355.1
AM932633.1.1324	1	0.072475	GCA_003762715.1
AM932660.1.1293	1	0.195103	GCF_016901815.1
AM932668.1.1293	1	0.166584	GCA_000752215.1
AM935607.1.1321	2	0.183163	GCA_023957015.1
AM936376.1.1338	1	0.04795	GCF_003075095.1
AM936752.1.1343	1	0.110813	GCA_024128875.1
AM942444.1853332.1854780	3	0.006954	GCF_000069945.1
AM943029.1.1242	4	0.027964	GCF_002441695.1
AM943033.1.1240	8	0.016672	GCF_001875655.1
AM943044.1.1276	1	0.019952	GCF_003051085.1
AM943053.1.1287	1	0.056822	GCF_001591765.1
AM944737.1.1462	1	0.039738	GCF_013449735.1
AM945677.1.1338	5	0.014836	GCF_001747895.1
AM982792.1.1317	1	0.110655	GCF_000735695.2
ANBF01000256.1.1317	1	0.003117	GCF_000341025.1
AOQH01000134.9789.11348	7	0.020468	GCF_003697165.2
AOTI010371954.25139.26771	1	0.505785	GCA_023898725.1
AP006841.3947850.3949386	1	0.108068	GCF_000025985.1
AP007209.295387.296837	1	0.029818	GCF_001884235.1
AP007232.100195.101685	2	0.034471	GCF_022496765.1
AP008971.1186123.1187588	1	0.002942	GCF_000010185.1
AP010969.19547.20881	4	0.012633	GCF_000413475.1
AP011541.160842.162381	1	0.013536	GCF_000009045.1
AP011541.2938766.2940303	1	0.015361	GCF_000009045.1
AP012211.1087525.1089021	1	0.014524	GCF_000270285.1
AP013105.1824508.1825965	2	0.015404	GCF_000478885.1
AP013105.452097.453554	2	0.016453	GCF_000478885.1
AP013355.1510630.1512128	1	0.030532	GCF_000476275.1
AP014658.2197699.2199227	4	0.025214	GCF_000196555.1
AP014938.991975.993452	1	0.00983	GCF_001548235.1
AP017469.4528062.4529584	1	0.014561	GCF_001655005.1
AP017968.3909070.3910574	7	0.005927	GCA_002356455.1
AP018132.760673.762187	1	0.004645	GCF_001025135.1
AP018530.195254.196749	1	0.017253	GCF_003416765.1
AP018530.519628.521123	1	0.017086	GCF_003416765.1
AP018532.913868.915378	3	0.026472	GCF_005121165.3
AP018533.3254502.3256012	1	0.028155	GCA_902363045.1
AP018535.920481.921993	1	0.029201	GCF_003574295.1
AP018536.2960241.2961739	1	0.033019	GCF_009695995.1
AP018536.383359.384857	1	0.041826	GCA_003584705.1
AP018784.1083452.1084996	7	0.017988	GCF_003697165.2
AP018786.2586781.2588311	8	0.012114	GCF_003609995.1
AP018786.621526.623056	8	0.013841	GCF_003609995.1
APLB01020964.5705.7161	2	0.01986	GCF_022496765.1
APON01000042.130541.131744	6	0.025177	GCF_002165305.2
APQG01000021.1.1300	7	0.021669	GCF_000368925.1
APRQ01000025.1.1216	4	0.007182	GCF_000368625.1
APWL01000001.152.1357	7	0.10809	GCF_000006945.2
AQHW01000007.13.1527	1	0.038629	GCF_000969825.1
AQHX01000018.1891.3401	1	0.023983	GCF_000381365.1
AQOB01000017.75653.77170	1	0.028004	GCA_021531865.1
AQUW01000012.1.1214	1	0.012484	GCF_008930665.1
ARDE01000044.40.1291	4	0.007382	GCF_000406925.1
ARFR01000003.2.1263	1	0.051791	GCF_900129655.1
ASVV01000008.1.1273	1	0.001109	GCF_001730315.1
ASWF01000001.376092.377638	1	0.015545	GCF_005405365.1
ASWF01000003.997800.999346	1	0.016414	GCF_018917525.1
AUAN01000035.1.1363	1	0.008094	GCF_000428745.1
ATCH01000005.67148.68647	1	0.018389	GCF_000411555.1
AUEH01000099.33.1367	1	0.028458	GCF_000469325.1
ATKJ02000147.82.1446	1	0.008149	GCF_001544215.1
AUMO01000173.1.1255	1	0.016787	GCF_000430725.1
ATUT01000005.67070.68591	1	0.018586	GCA_902399855.1
ATWA01000156.1.1244	5	0.040606	GCF_020911725.1
ATXO01000007.1.1263	3	0.050867	GCF_000955725.1
ATXR01000029.87.1300	6	0.027929	GCF_002055535.1
ATXW01000003.334809.336317	3	0.021359	GCF_000427365.1
AY005065.1.1524	1	0.147787	GCF_013166595.1
AY026751.1.1219	1	0.031422	GCF_018314255.1
AY033814.1.1295	1	0.035586	GCF_015751045.1
AY033815.1.1294	1	0.009518	GCF_017377655.1
AY035891.1.1497	5	0.048423	GCF_011304355.1
AY049713.1.1456	1	0.011579	GCF_003096415.1
AY135405.1.1722	2	33.947709	GCF_014655955.1
AY136666.1.1483	1	0.041171	GCF_000169255.2
AY138237.1.1441	1	0.088671	GCA_018729455.1
AY151398.1.1400	4	0.01631	GCF_000196555.1
AY167820.1.1339	8	0.077178	GCF_012676905.1
AY169416.1.1303	5	0.015447	GCA_025151215.1
AY169418.1.1203	1	0.026801	GCF_002205845.1
AY172656.1.1401	2	0.014126	GCF_001025175.1
AY196662.1.1264	1	0.915514	GCA_009936795.1
AY211542.1.1343	1	0.006779	GCF_003992115.1
AY212651.1.1295	1	0.016886	GCF_002304225.1
AY212767.1.1222	1	0.107935	GCF_014385005.1
AY212777.1.1209	1	0.141577	GCA_018223365.1
AY212778.1.1210	1	0.10994	GCA_916988195.3
AY230217.1.1440	1	0.006039	GCF_900167025.1
AY239422.1.1473	1	0.061278	GCF_015555905.1
AY239433.1.1456	1	0.024856	GCA_905206805.1
AY239436.1.1451	1	0.115645	GCA_910583925.1
AY239461.1.1420	1	0.131995	GCA_003762615.1
AY253657.1.1555	1	0.027376	GCF_001434335.1
AY253658.1.1550	1	0.015161	GCF_001434365.1
AY258614.1.1402	7	0.022013	GCF_002019705.1
AY265877.1.1421	2	0.070135	GCF_000519045.1
AY267190.1.1401	2	0.018771	GCF_001025175.1
AY278623.1.1469	1	0.030108	GCF_018128285.1
AY278626.1.1462	2	0.016419	GCF_000269605.1
AY281078.1.1430	1	0.01107	GCF_000963275.1
AY294218.1.1409	1	0.147005	GCF_002872415.1
AY294222.1.1443	1	0.264565	GCA_016786485.1
AY321958.1.1429	1	0.016736	GCF_003339815.1
AY323505.1.1394	1	0.016144	GCF_017979475.1
AY326462.1.1473	1	0.095745	GCF_900110295.1
AY349366.1.1543	3	0.114669	GCF_001278845.1
AY349369.1.1520	1	0.195383	GCF_016651435.1
AY349374.1.1536	1	0.264392	GCF_023206215.1
AY349378.1.1509	1	0.089977	GCA_902790905.1
AY349387.1.1503	5	0.033991	GCF_002240055.1
AY349394.1.1530	1	0.119151	GCF_003043945.1
AY350613.1.1456	1	0.014607	GCF_000160535.1
AY362904.1.1362	1	0.032353	GCF_002795425.1
AY375144.1.1453	1	0.043604	GCA_016712465.1
AY429713.1.1414	1	0.015631	GCF_003100395.1
AY452004.1.1502	2	0.12428	GCF_000467855.2
AY454723.1.1051	1	0.129428	GCA_902810715.1
AY468447.1.1310	1	0.023846	GCF_900168205.1
AY513711.1.1399	2	0.021542	GCF_001025175.1
AY514996.1.1307	4	0.007424	GCF_900187285.1
AY533299.1.1239	3	0.017318	GCF_001441165.1
AY538696.1.1466	2	0.040081	GCF_006542685.1
AY560519.1.1489	4	0.042841	GCF_014055025.1
AY571668.1.1382	3	0.022559	GCF_002959775.1
AY574991.1.1453	2	0.021367	GCF_000981035.1
AY579584.1.1405	1	0.023306	GCF_018314255.1
AY584575.1.1208	1	0.065436	GCF_001584165.1
AY596470.1.1490	3	0.010771	GCF_916618745.1
AY599666.1.1420	1	0.087757	GCA_002420145.1
AY608696.1.1419	1	0.011696	GCF_000381365.1
AY608697.1.1413	1	0.10673	GCA_000613465.1
AY618265.1.1779	2	38.923455	GCF_014655955.1
AY644475.1.1526	3	0.126942	GCA_017569285.1
AY653232.1.1310	1	0.034578	GCF_000313565.1
AY653233.1.1341	1	0.017752	GCF_005845215.1
AY653234.1.1325	2	0.13273	GCA_004793585.1
AY653235.1.1324	1	0.012274	GCA_025149285.1
AY662008.1.1521	1	0.086338	GCF_004342585.1
AY663435.1.1430	7	0.024284	GCF_000368145.1
AY664116.1.1211	6	0.029436	GCF_012427705.1
AY676491.1.1479	2	0.038906	GCF_001997345.1
AY684386.1.1444	1	0.090006	GCA_018223415.1
AY684405.1.1439	1	0.140706	GCF_002161055.1
AY686619.1.1208	13	0.037802	GCF_022674245.1
AY691525.1.1502	5	0.044701	GCF_006739205.1
AY691533.1.1518	4	0.045858	GCF_000686605.1
AY692429.1.1487	1	0.185874	GCF_900113035.1
AY693999.1.1366	1	0.126953	GCF_023156585.1
AY696661.1.1417	7	0.020991	GCF_000759775.1
AY721625.1.1490	1	0.060006	GCF_900128455.1
AY726822.1.1202	1	0.1693	GCF_002082565.1
AY730405.1.1661	1	33.350082	GCA_020720425.1
AY741379.1.1758	1	36.493865	GCA_001769385.1
AY753654.1.1485	1	0.051365	GCF_001049895.1
AY769997.1.1470	1	0.137522	GCF_902167705.1
AY850119.1.1396	1	0.120811	GCF_000160055.1
AY850292.1.1350	1	0.022349	GCF_018789675.1
AY850417.1.1239	1	0.013849	GCF_001275135.1
AY850421.1.1234	2	0.107151	GCF_000012845.1
AY850429.1.1250	1	0.072518	GCA_910575545.1
AY850431.1.1224	1	0.062762	GCF_004766125.1
AY850432.1.1226	1	0.115758	GCF_003024805.1
AY850447.1.1240	1	0.064596	GCF_900048895.1
AY850448.1.1230	1	0.053135	GCF_900048895.1
AY850453.1.1227	2	0.026326	GCA_018223435.1
AY850461.1.1228	1	0.062084	GCA_900112995.1
AY850463.1.1224	1	0.108282	GCF_001406815.1
AY850465.1.1227	2	0.069391	GCF_000153925.1
AY850473.1.1278	3	0.150153	GCA_900199405.1
AY850474.1.1227	3	0.085123	GCA_017569285.1
AY850490.1.1239	1	0.028395	GCA_025147485.1
AY850500.1.1243	6	0.106511	GCF_009494135.1
AY850501.1.1242	1	0.118018	GCF_016899855.1
AY850502.1.1243	1	0.018064	GCF_016899855.1
AY850516.1.1219	2	0.118821	GCF_014982715.1
AY850526.1.1228	1	0.030976	GCF_009696275.1
AY850534.1.1248	1	0.131402	GCF_000741295.1
AY850535.1.1224	2	0.151488	GCF_000196555.1
AY858424.1.1561	1	0.163898	GCA_900751685.1
AY858448.1.1510	3	0.243388	GCF_014384745.1
AY858477.1.1491	3	0.112445	GCA_900199405.1
AY858525.1.1526	2	0.13273	GCA_004793585.1
AY862394.1.1486	1	0.233811	GCF_900176035.1
AY898030.1.1344	1	0.034622	GCF_013607875.1
AY911443.1.1200	1	0.039627	GCF_015557635.1
AY912087.1.1214	7	0.027824	GCF_002250115.1
AY913555.1.1268	1	0.075608	GCA_019075925.1
AY916142.1.1362	1	0.037573	GCF_014333425.1
AY916146.1.1383	1	0.135995	GCA_910573745.1
AY916161.1.1348	1	0.153862	GCF_014287875.1
AY916174.1.1359	2	0.108868	GCF_006542665.1
AY916191.1.1394	1	0.138334	GCA_905199855.1
AY916202.1.1349	1	0.125514	GCA_944391805.1
AY916205.1.1351	1	0.177662	GCA_022706785.1
AY916206.1.1387	1	0.170846	GCF_900155525.1
AY916208.1.1385	1	0.358237	GCA_010206265.1
AY916210.1.1353	1	0.20924	GCF_900106755.1
AY916213.1.1356	1	0.054552	GCF_008727735.1
AY916234.1.1329	2	0.185731	GCF_000296445.1
AY916251.1.1360	1	0.126884	GCF_003634345.1
AY916253.1.1372	5	0.10654	GCF_009193295.2
AY916254.1.1393	5	0.129606	GCA_025148635.1
AY916275.1.1352	1	0.109124	GCF_003478035.1
AY916276.1.1351	1	0.110002	GCF_021531915.1
AY916278.1.1340	1	0.128724	GCA_015062535.1
AY916294.1.1399	2	0.310334	GCF_002777255.1
AY916298.1.1340	1	0.142464	GCF_943193045.1
AY916310.1.1355	1	0.164744	GCF_000190535.1
AY916331.1.1384	1	0.330549	GCA_001604185.1
AY916332.1.1353	1	0.082816	GCF_016901735.1
AY916334.1.1351	1	0.135137	GCA_002841545.1
AY916345.1.1351	1	0.187194	GCA_000752215.1
AY916351.1.1386	1	0.31938	GCA_015067305.1
AY916355.1.1363	1	0.124893	GCF_000205025.1
AY916358.1.1349	1	0.037213	GCF_014384785.1
AY916363.1.1391	1	0.163898	GCA_900751685.1
AY916369.1.1392	1	0.142681	GCA_934085635.1
AY916371.1.1353	1	0.047462	GCF_002161175.1
AY916373.1.1335	5	0.106172	GCA_000020605.1
AY916384.1.1351	1	0.143663	GCA_000403335.2
AY916385.1.1350	1	0.11534	GCA_021201135.1
AY916386.1.1386	1	0.311515	GCA_910575615.1
AY916388.1.1341	1	0.128724	GCA_015062535.1
AY916390.1.1359	3	0.108044	GCF_000154845.1
AY922215.1.1392	1	0.075606	GCF_000375465.1
AY922995.1.1462	1	0.06845	GCF_007989625.1
AY923079.1.1223	1	0.035688	GCA_000517005.1
AY928229.1.1275	1	0.023404	GCF_022271405.1
AY929285.1.1464	1	0.00555	GCF_000165675.1
AY947496.1.1209	5	0.041276	GCF_001071995.1
AY958801.1.1262	1	0.013249	GCF_000010185.1
AY958804.1.1519	1	0.072633	GCF_000214495.1
AY958811.1.1503	1	0.010591	GCF_003408845.1
AY958883.1.1480	2	0.033558	GCF_001025175.1
AY958933.1.1490	1	0.082602	GCF_000024225.1
AY958968.1.1521	1	0.035724	GCF_009738225.1
AY959115.1.1521	1	0.098996	GCF_001434975.1
AY960567.1.1475	1	0.091191	GCA_025148125.1
AY962684.1.1342	1	0.005499	GCF_000797515.1
AY974070.1.1396	2	0.111823	GCF_000969835.1
AY974071.1.1440	2	0.004209	GCA_025145285.1
AY975560.1.1360	1	0.108068	GCF_000025985.1
AY976000.1.1336	1	0.10994	GCA_916988195.3
AY976056.1.1346	1	0.115705	GCA_900542245.1
AY976142.1.1343	1	0.163898	GCA_900751685.1
AY976380.1.1355	5	0.095525	GCA_025148635.1
AY976551.1.1351	1	0.10755	GCF_013304825.1
AY976915.1.1353	1	0.024286	GCF_009696065.1
AY977133.1.1355	5	0.108676	GCA_025148635.1
AY977174.1.1362	1	0.11001	GCF_019734885.1
AY977392.1.1351	1	0.078037	GCA_902363135.1
AY977618.1.1359	5	0.109367	GCF_001314995.1
AY977674.1.1364	6	0.106801	GCA_025151535.1
AY977767.1.1388	1	0.163898	GCA_900751685.1
AY978012.1.1354	5	0.159667	GCA_025148635.1
AY978859.1.1336	1	0.106921	GCF_023347295.1
AY978967.1.1374	1	0.07889	GCF_900106755.1
AY979313.1.1359	1	0.109565	GCF_000011065.1
AY979411.1.1354	5	0.154454	GCA_025148635.1
AY979435.1.1358	1	0.274094	GCF_002251385.1
AY979504.1.1362	6	0.106801	GCA_025151535.1
AY979566.1.1352	1	0.133298	GCA_020859985.1
AY980441.1.1355	5	0.0962	GCA_025148635.1
AY980889.1.1348	1	0.057979	GCF_024460475.1
AY980938.1.1340	1	0.112009	GCF_004535825.1
AY980959.1.1365	6	0.106801	GCA_025151535.1
AY981014.1.1363	6	0.106801	GCA_025151535.1
AY981634.1.1324	1	0.042065	GCF_023347275.1
AY981651.1.1310	1	0.119509	GCF_900148495.1
AY981777.1.1355	5	0.108676	GCA_025148635.1
AY981794.1.1358	5	0.108676	GCA_025148635.1
AY981894.1.1371	4	0.086058	GCF_000296465.1
AY981913.1.1349	5	0.033187	GCF_002222615.2
AY981930.1.1333	1	0.044504	GCA_003481005.1
AY982383.1.1377	1	0.107171	GCF_000188175.1
AY982398.1.1375	2	0.108892	GCF_000455225.1
AY982432.1.1370	1	0.135995	GCA_910573745.1
AY983363.1.1360	1	0.10673	GCA_000613465.1
AY983739.1.1351	6	0.053614	GCF_024168045.1
AY984358.1.1392	1	0.033612	GCF_000160055.1
